0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:02:18 +0530] "GET /OnlinePropertySale/jquery-easyui-1.4.5/themes/icon.css HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:02:18 +0530] "GET /OnlinePropertySale/jquery-easyui-1.4.5/demo.css HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:02:18 +0530] "GET /OnlinePropertySale/jquery-easyui-1.4.5/jquery.min.js HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:02:18 +0530] "GET /OnlinePropertySale/images/cp.png HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:02:18 +0530] "GET /OnlinePropertySale/jquery-easyui-1.4.5/jquery.easyui.min.js HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:02:20 +0530] "POST /OnlinePropertySale/loginsuccess.html HTTP/1.1" 200 4666
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:02:20 +0530] "GET /OnlinePropertySale/images/cp.png HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:02:23 +0530] "GET /OnlinePropertySale/viewproperty.html HTTP/1.1" 200 15238
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:02:23 +0530] "GET /OnlinePropertySale/images/cp.png HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:02:23 +0530] "GET /OnlinePropertySale/jquery/themes/default/images/searchbox_button.png HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:02:24 +0530] "GET /OnlinePropertySale/jquery/themes/default/images/blank.gif HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:02:24 +0530] "GET /OnlinePropertySale/jquery/themes/default/images/pagination_icons.png HTTP/1.1" 200 628
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:02:24 +0530] "GET /OnlinePropertySale/jquery/themes/default/images/loading.gif HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:02:24 +0530] "GET /OnlinePropertySale/agentpropertylist.html?page=1&rows=10 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:02:24 +0530] "GET /OnlinePropertySale/agentpropertylist.html?page=1&rows=10 HTTP/1.1" 200 12
